Date,Name,Amt,Mode,Categorization,Status,Time of the Day,Day of the Week,Type of Expense
09-01-2021,Rice,85.87,Credit Card,Groceries,Unnecessary,Evening,Saturday,Variable
09-01-2021,Beer,448,Wallet,Alcohol,Avoidable,Evening,Saturday,Variable
09-01-2021,Burger,154.01,Wallet,Food & Dining,Avoidable,Night,Saturday,Variable
09-01-2021,Cocktail,444,Cash,Alcohol,Avoidable,Night,Saturday,Variable
09-01-2021,Whiskey,426,Credit Card,Alcohol,Avoidable,Night,Saturday,Variable
09-01-2021,Lottery,3231.95,Wallet,Gambling,Avoidable,Night,Saturday,Variable
09-01-2021,Medicines,1227,Net Banking,Healthcare,Unnecessary,Night,Saturday,Variable
10-01-2021,Fancy Restaurant,2163.78,Cash,Dining Out,Avoidable,Morning,Sunday,Variable
10-01-2021,Books,502.63,Wallet,Education,Unnecessary,Morning,Sunday,Variable
10-01-2021,Casino,2642.59,UPI,Gambling,Avoidable,Morning,Sunday,Variable
10-01-2021,Milk,45.29,Net Banking,Groceries,Unnecessary,Evening,Sunday,Variable
10-01-2021,Fine Dining,6556.64,Cash,Dining Out,Unnecessary,Night,Sunday,Variable
11-01-2021,Grocery,171.37,Cash,Food,Unnecessary,Morning,Thursday,Variable
11-01-2021,Vegetables,127.17,Credit Card,Food,Unnecessary,Afternoon,Thursday,Variable
11-01-2021,Fruits,94.73,UPI,Food,Avoidable,Evening,Thursday,Variable
11-01-2021,Online Course,1458.22,Wallet,Education,Unnecessary,Night,Thursday,Variable
11-01-2021,Gaming,497.75,Cash,Entertainment,Unnecessary,Night,Thursday,Variable
11-01-2021,Milk,49.32,Wallet,Groceries,Unnecessary,Night,Thursday,Variable
12-01-2021,Milk,45.01,UPI,Groceries,Unnecessary,Afternoon,Tuesday,Variable
12-01-2021,Shoes,3087,Wallet,Shopping,Avoidable,Evening,Tuesday,Variable
12-01-2021,Clothes,4142,Credit Card,Shopping,Avoidable,Evening,Tuesday,Variable
12-01-2021,Fast Food,705.03,UPI,Dining Out,Unnecessary,Night,Tuesday,Variable
12-01-2021,Burger,194.48,Debit Card,Food & Dining,Unnecessary,Night,Tuesday,Variable
13-01-2021,Milk,50.99,Credit Card,Groceries,Necessary,Morning,Friday,Variable
13-01-2021,Vegetables,93.76,Cash,Food,Unnecessary,Morning,Friday,Variable
13-01-2021,Burger,119.57,Cash,Food & Dining,Unnecessary,Evening,Friday,Variable
13-01-2021,Fruits,90.81,Debit Card,Food,Avoidable,Night,Friday,Variable
13-01-2021,Grocery,199.44,Wallet,Food,Avoidable,Night,Friday,Variable
13-01-2021,Eggs,63.23,Wallet,Food,Unnecessary,Night,Friday,Variable
14-01-2021,Burger,142.05,Wallet,Food & Dining,Avoidable,Morning,Thursday,Variable
14-01-2021,Pizza,343.3,Cash,Food,Avoidable,Morning,Thursday,Variable
14-01-2021,Casino,1083.74,Wallet,Gambling,Avoidable,Afternoon,Thursday,Variable
14-01-2021,Milk,46.07,Net Banking,Groceries,Unnecessary,Evening,Thursday,Variable
14-01-2021,Metro,1596,Credit Card,Transport,Avoidable,Evening,Thursday,Variable
15-01-2021,Fast Food,986.09,UPI,Dining Out,Unnecessary,Morning,Friday,Variable
15-01-2021,Milk,41.03,Cash,Groceries,Unnecessary,Morning,Friday,Variable
15-01-2021,Fruits,83.57,Debit Card,Food,Avoidable,Afternoon,Friday,Variable
15-01-2021,Shoes,4272,Cash,Shopping,Avoidable,Afternoon,Friday,Variable
15-01-2021,Jewelry,3173.69,UPI,Luxury,Avoidable,Afternoon,Friday,Variable
15-01-2021,Grocery,192.89,Wallet,Food,Unnecessary,Evening,Friday,Variable
15-01-2021,Eggs,58.49,Net Banking,Food,Unnecessary,Evening,Friday,Variable
15-01-2021,Doctor Fee,1389.78,Credit Card,Healthcare,Necessary,Evening,Friday,Variable
15-01-2021,Online Course,1340.19,Wallet,Education,Unnecessary,Night,Friday,Variable
15-01-2021,Vegetables,90.11,Net Banking,Food,Avoidable,Night,Friday,Variable
15-01-2021,Lottery,4587.88,UPI,Gambling,Avoidable,Night,Friday,Variable
16-01-2021,Milk,51.76,Wallet,Groceries,Necessary,Morning,Saturday,Variable
16-01-2021,Therapy,612,Net Banking,Healthcare,Unnecessary,Morning,Saturday,Variable
16-01-2021,Online Course,1637.92,Wallet,Education,Necessary,Night,Saturday,Variable
16-01-2021,Cigarettes,274.4,Wallet,Tobacco,Avoidable,Night,Saturday,Variable
17-01-2021,Movie,684.97,Wallet,Entertainment,Avoidable,Morning,Sunday,Variable
17-01-2021,Grocery,171.57,Wallet,Food,Unnecessary,Morning,Sunday,Variable
17-01-2021,Cocktail,482,Cash,Alcohol,Avoidable,Morning,Sunday,Variable
17-01-2021,Fine Dining,5488.22,UPI,Dining Out,Unnecessary,Afternoon,Sunday,Variable
17-01-2021,Milk,44.29,Credit Card,Groceries,Unnecessary,Afternoon,Sunday,Variable
17-01-2021,Beer,449,UPI,Alcohol,Avoidable,Afternoon,Sunday,Variable
17-01-2021,Doctor Fee,1950.82,Cash,Healthcare,Unnecessary,Afternoon,Sunday,Variable
17-01-2021,Fruits,92.11,Cash,Food,Avoidable,Evening,Sunday,Variable
17-01-2021,Wine,453,UPI,Alcohol,Avoidable,Evening,Sunday,Variable
17-01-2021,Books,247.83,Wallet,Entertainment,Unnecessary,Night,Sunday,Variable
17-01-2021,Vegetables,79.29,Debit Card,Food,Avoidable,Night,Sunday,Variable
17-01-2021,Whiskey,403,UPI,Alcohol,Avoidable,Night,Sunday,Variable
18-01-2021,Fast Food,723.67,Credit Card,Dining Out,Unnecessary,Morning,Monday,Variable
18-01-2021,Shoes,6435,UPI,Shopping,Unnecessary,Morning,Monday,Variable
18-01-2021,Books,828.25,Debit Card,Education,Unnecessary,Afternoon,Monday,Variable
18-01-2021,Movie,444.03,UPI,Entertainment,Unnecessary,Afternoon,Monday,Variable
18-01-2021,Shoes,1646,Credit Card,Shopping,Unnecessary,Evening,Monday,Variable
18-01-2021,Milk,46.49,Credit Card,Groceries,Necessary,Night,Monday,Variable
19-01-2021,Fruits,90.27,Credit Card,Food,Avoidable,Morning,Tuesday,Variable
19-01-2021,Milk,50.28,Cash,Groceries,Necessary,Morning,Tuesday,Variable
19-01-2021,Eggs,53.44,Wallet,Food,Avoidable,Afternoon,Tuesday,Variable
19-01-2021,Vegetables,83.13,Cash,Food,Avoidable,Afternoon,Tuesday,Variable
19-01-2021,Cafe,1239.61,Wallet,Dining Out,Unnecessary,Night,Tuesday,Variable
19-01-2021,Fancy Restaurant,2752.8,Net Banking,Dining Out,Avoidable,Night,Tuesday,Variable
19-01-2021,Grocery,151.29,Credit Card,Food,Unnecessary,Night,Tuesday,Variable
19-01-2021,Accessories,4948,Debit Card,Shopping,Avoidable,Night,Tuesday,Variable
20-01-2021,Online Course,1831.92,Credit Card,Education,Necessary,Morning,Wednesday,Variable
20-01-2021,Hookah,259.36,Net Banking,Tobacco,Avoidable,Morning,Wednesday,Variable
20-01-2021,Books,371.19,Debit Card,Entertainment,Avoidable,Afternoon,Wednesday,Variable
20-01-2021,Milk,44.99,Wallet,Groceries,Necessary,Evening,Wednesday,Variable
20-01-2021,Casino,2217.63,Credit Card,Gambling,Avoidable,Evening,Wednesday,Variable
20-01-2021,Casino,112.74,Cash,Gambling,Avoidable,Evening,Wednesday,Variable
21-01-2021,Concert,2283.91,Credit Card,Entertainment,Unnecessary,Afternoon,Thursday,Variable
21-01-2021,Movie,665.25,Net Banking,Entertainment,Unnecessary,Afternoon,Thursday,Variable
21-01-2021,Fruits,81.16,Wallet,Food,Avoidable,Afternoon,Thursday,Variable
21-01-2021,Train Ticket,964.66,UPI,Transport,Avoidable,Afternoon,Thursday,Variable
21-01-2021,Fancy Restaurant,2637.82,Net Banking,Dining Out,Unnecessary,Evening,Thursday,Variable
21-01-2021,Books,672.86,Debit Card,Education,Necessary,Evening,Thursday,Variable
21-01-2021,Milk,40.85,Net Banking,Groceries,Unnecessary,Evening,Thursday,Variable
21-01-2021,Vegetables,105.94,UPI,Food,Unnecessary,Evening,Thursday,Variable
21-01-2021,Books,622.78,Net Banking,Education,Unnecessary,Night,Thursday,Variable
21-01-2021,Grocery,172.89,Debit Card,Food,Avoidable,Night,Thursday,Variable
22-01-2021,Eggs,57.29,Credit Card,Food,Avoidable,Morning,Friday,Variable
22-01-2021,Casino,1083.74,Wallet,Gambling,Avoidable,Morning,Friday,Variable
22-01-2021,Concert,2037.93,Debit Card,Entertainment,Unnecessary,Afternoon,Friday,Variable
22-01-2021,Vape,290.39,Debit Card,Tobacco,Avoidable,Afternoon,Friday,Variable
22-01-2021,Pizza,496,Cash,Food,Avoidable,Evening,Friday,Variable
22-01-2021,Metro,1596,Credit Card,Transport,Avoidable,Evening,Friday,Variable
22-01-2021,Vape,378.72,Wallet,Tobacco,Avoidable,Evening,Friday,Variable
22-01-2021,Milk,45.61,Debit Card,Groceries,Unnecessary,Night,Friday,Variable
22-01-2021,Casino,1513.93,UPI,Gambling,Avoidable,Night,Friday,Variable
22-01-2021,Train Ticket,1706.36,UPI,Transport,Avoidable,Night,Friday,Variable
22-01-2021,Vape,336.88,Net Banking,Tobacco,Avoidable,Night,Friday,Variable
23-01-2021,Vegetables,98.08,Cash,Food,Avoidable,Morning,Saturday,Variable
23-01-2021,Shoes,449,Debit Card,Shopping,Unnecessary,Morning,Saturday,Variable
23-01-2021,Doctor Fee,414.15,Wallet,Healthcare,Necessary,Morning,Saturday,Variable
23-01-2021,Shoes,7715,UPI,Shopping,Avoidable,Afternoon,Saturday,Variable
23-01-2021,Shoes,4821,UPI,Shopping,Unnecessary,Afternoon,Saturday,Variable
23-01-2021,Fruits,91.68,Credit Card,Food,Unnecessary,Evening,Saturday,Variable
23-01-2021,Grocery,184.13,Wallet,Food,Avoidable,Evening,Saturday,Variable
23-01-2021,Milk,54.17,Wallet,Groceries,Unnecessary,Evening,Saturday,Variable
23-01-2021,Cafe,1433.79,Wallet,Dining Out,Unnecessary,Night,Saturday,Variable
23-01-2021,Books,984.65,Cash,Education,Necessary,Night,Saturday,Variable
24-01-2021,Cigarettes,205.47,Credit Card,Tobacco,Avoidable,Morning,Sunday,Variable
24-01-2021,Cigarettes,471.1,UPI,Tobacco,Avoidable,Morning,Sunday,Variable
24-01-2021,Cafe,1632.07,Wallet,Dining Out,Unnecessary,Afternoon,Sunday,Variable
24-01-2021,Books,315.27,Debit Card,Entertainment,Unnecessary,Afternoon,Sunday,Variable
24-01-2021,Exam Fee,316.23,Debit Card,Education,Necessary,Evening,Sunday,Variable
24-01-2021,Milk,49.63,Cash,Groceries,Necessary,Night,Sunday,Variable
24-01-2021,Taxi,1622,Wallet,Transport,Avoidable,Night,Sunday,Variable
25-01-2021,Vegetables,134.82,UPI,Food,Avoidable,Morning,Monday,Variable
25-01-2021,Whiskey,454,UPI,Alcohol,Avoidable,Morning,Monday,Variable
25-01-2021,Beer,475,UPI,Alcohol,Avoidable,Morning,Monday,Variable
25-01-2021,Books,747.51,UPI,Education,Necessary,Afternoon,Monday,Variable
25-01-2021,Fruits,89.83,Credit Card,Food,Unnecessary,Afternoon,Monday,Variable
25-01-2021,Fast Food,785.9,UPI,Dining Out,Unnecessary,Evening,Monday,Variable
25-01-2021,Grocery,194.71,Net Banking,Food,Avoidable,Evening,Monday,Variable
25-01-2021,Milk,50.07,Credit Card,Groceries,Unnecessary,Evening,Monday,Variable
25-01-2021,Wine,436,Net Banking,Alcohol,Avoidable,Evening,Monday,Variable
25-01-2021,Fast Food,935.53,Credit Card,Dining Out,Unnecessary,Night,Monday,Variable
25-01-2021,Cocktail,495,Wallet,Alcohol,Avoidable,Night,Monday,Variable
26-01-2021,Books,538.88,Cash,Education,Necessary,Morning,Tuesday,Variable
26-01-2021,Coffee,196.61,Cash,Food & Dining,Avoidable,Morning,Tuesday,Variable
26-01-2021,Fuel,1151,Net Banking,Transport,Avoidable,Morning,Tuesday,Variable
26-01-2021,Milk,49.48,Net Banking,Groceries,Necessary,Afternoon,Tuesday,Variable
26-01-2021,Watches,14834.82,Wallet,Luxury,Avoidable,Afternoon,Tuesday,Variable
26-01-2021,Books,889.12,Cash,Education,Necessary,Evening,Tuesday,Variable
26-01-2021,Movie,500.98,Cash,Entertainment,Unnecessary,Evening,Tuesday,Variable
26-01-2021,Eggs,51.9,Wallet,Food,Unnecessary,Evening,Tuesday,Variable
26-01-2021,Books,977.23,UPI,Education,Unnecessary,Night,Tuesday,Variable
27-01-2021,Milk,42.98,Wallet,Groceries,Unnecessary,Morning,Wednesday,Variable
27-01-2021,Betting,592.05,Credit Card,Gambling,Avoidable,Morning,Wednesday,Variable
27-01-2021,Grocery,142.83,Credit Card,Food,Avoidable,Afternoon,Wednesday,Variable
27-01-2021,Vegetables,147.4,Debit Card,Food,Avoidable,Afternoon,Wednesday,Variable
27-01-2021,Casino,4795.84,Credit Card,Gambling,Avoidable,Afternoon,Wednesday,Variable
27-01-2021,Medicines,920,Net Banking,Healthcare,Unnecessary,Afternoon,Wednesday,Variable
27-01-2021,Fruits,80.88,Cash,Food,Unnecessary,Evening,Wednesday,Variable
27-01-2021,Therapy,1333,Net Banking,Healthcare,Necessary,Evening,Wednesday,Variable
28-01-2021,Cafe,1705.98,Credit Card,Dining Out,Avoidable,Morning,Thursday,Variable
28-01-2021,Fast Food,896.55,Debit Card,Dining Out,Unnecessary,Morning,Thursday,Variable
28-01-2021,Fine Dining,6029.78,Cash,Dining Out,Avoidable,Morning,Thursday,Variable
28-01-2021,Online Course,1114.26,Cash,Education,Necessary,Morning,Thursday,Variable
28-01-2021,Milk,46.28,Debit Card,Groceries,Necessary,Afternoon,Thursday,Variable
28-01-2021,Rice,103.34,Debit Card,Groceries,Unnecessary,Afternoon,Thursday,Variable
28-01-2021,Lottery,955.71,UPI,Gambling,Avoidable,Afternoon,Thursday,Variable
28-01-2021,Fast Food,635.16,UPI,Dining Out,Avoidable,Night,Thursday,Variable
28-01-2021,Online Course,1224.58,UPI,Education,Unnecessary,Night,Thursday,Variable
29-01-2021,Fruits,85.21,Net Banking,Food,Unnecessary,Morning,Friday,Variable
29-01-2021,Perfumes,9673.97,Credit Card,Luxury,Avoidable,Morning,Friday,Variable
29-01-2021,Train Ticket,816.95,Credit Card,Transport,Unnecessary,Afternoon,Friday,Variable
29-01-2021,Vegetables,89.73,Debit Card,Food,Avoidable,Evening,Friday,Variable
30-01-2021,Doctor Fee,1548.28,Wallet,Healthcare,Necessary,Night,Saturday,Variable
31-01-2021,Vegetables,84.33,Cash,Food,Avoidable,Afternoon,Friday,Variable
31-01-2021,Fruits,86.72,Cash,Food,Unnecessary,Evening,Friday,Variable
01-02-2021,Mobile Recharge,290.31,Auto Debit,Utilities,Necessary,Morning,Monday,Fixed
01-02-2021,Water Bill,339.68,Auto Debit,Utilities,Necessary,Morning,Monday,Fixed
01-02-2021,Books,938.19,Debit Card,Education,Necessary,Morning,Monday,Variable
01-02-2021,Grocery,173.26,Cash,Food,Avoidable,Morning,Monday,Variable
01-02-2021,Milk,51.26,Debit Card,Groceries,Unnecessary,Morning,Monday,Variable
01-02-2021,Cocktail,426,Wallet,Alcohol,Avoidable,Morning,Monday,Variable
01-02-2021,Whiskey,413,Credit Card,Alcohol,Avoidable,Morning,Monday,Variable
01-02-2021,Wine,474,Wallet,Alcohol,Avoidable,Morning,Monday,Variable
01-02-2021,Internet,656.42,Auto Debit,Utilities,Necessary,Afternoon,Monday,Fixed
01-02-2021,Fruits,86.72,Cash,Food,Avoidable,Afternoon,Monday,Variable
01-02-2021,Vegetables,54.39,Debit Card,Food,Avoidable,Afternoon,Monday,Variable
01-02-2021,Casino,3709.14,Debit Card,Gambling,Avoidable,Afternoon,Monday,Variable
01-02-2021,Beer,481,Cash,Alcohol,Avoidable,Afternoon,Monday,Variable
01-02-2021,Electricity Bill,3176.13,Auto Debit,Utilities,Necessary,Evening,Monday,Fixed
01-02-2021,Betting,592.05,Credit Card,Gambling,Avoidable,Evening,Monday,Variable
01-02-2021,Doctor Fee,1389.78,Credit Card,Healthcare,Necessary,Night,Monday,Variable
01-02-2021,Doctor Fee,898.71,Net Banking,Healthcare,Necessary,Night,Monday,Variable
02-02-2021,Milk,41.52,UPI,Groceries,Unnecessary,Morning,Tuesday,Variable
02-02-2021,Fine Dining,5391.08,Debit Card,Dining Out,Unnecessary,Afternoon,Tuesday,Variable
02-02-2021,Fast Food,784.17,Net Banking,Dining Out,Unnecessary,Evening,Tuesday,Variable
02-02-2021,Casino,3612.78,Credit Card,Gambling,Avoidable,Evening,Tuesday,Variable
03-02-2021,Grocery,141.92,Debit Card,Food,Avoidable,Morning,Wednesday,Variable
03-02-2021,Milk,44.17,UPI,Groceries,Unnecessary,Morning,Wednesday,Variable
03-02-2021,Doctor Fee,1026,Debit Card,Healthcare,Necessary,Morning,Wednesday,Variable
03-02-2021,Coffee,231.62,Debit Card,Food & Dining,Avoidable,Afternoon,Wednesday,Variable
03-02-2021,Fruits,94.98,Wallet,Food,Avoidable,Afternoon,Wednesday,Variable
03-02-2021,Vegetables,86.08,Credit Card,Food,Unnecessary,Evening,Wednesday,Variable
03-02-2021,Jewelry,19844.1,UPI,Luxury,Avoidable,Evening,Wednesday,Variable
03-02-2021,Fast Food,830.22,Credit Card,Dining Out,Avoidable,Night,Wednesday,Variable
04-02-2021,Tuition Fee,17500,Cash,Education,Necessary,Morning,Thursday,Fixed
04-02-2021,Pizza,469.54,UPI,Food,Avoidable,Morning,Thursday,Variable
04-02-2021,Therapy,496,UPI,Healthcare,Necessary,Morning,Thursday,Variable
04-02-2021,Gym Membership,3000,Wallet,Healthcare,Unnecessary,Afternoon,Thursday,Fixed
04-02-2021,Fast Food,846.76,Net Banking,Dining Out,Unnecessary,Afternoon,Thursday,Variable
04-02-2021,Burger,200,Credit Card,Food & Dining,Avoidable,Afternoon,Thursday,Variable
04-02-2021,Milk,44.14,Cash,Groceries,Necessary,Afternoon,Thursday,Variable
04-02-2021,Online Course,1776.13,Cash,Education,Unnecessary,Evening,Thursday,Variable
04-02-2021,Handbags,13901.84,UPI,Luxury,Avoidable,Evening,Thursday,Variable
05-02-2021,Burger,129.83,Wallet,Food & Dining,Avoidable,Morning,Friday,Variable
05-02-2021,Eggs,60.32,Net Banking,Food,Unnecessary,Morning,Friday,Variable
05-02-2021,Milk,46.48,Wallet,Groceries,Necessary,Morning,Friday,Variable
05-02-2021,Gaming,236.78,Credit Card,Entertainment,Avoidable,Afternoon,Friday,Variable
05-02-2021,Grocery,138.64,Net Banking,Food,Avoidable,Afternoon,Friday,Variable
05-02-2021,Fruits,95.18,Debit Card,Food,Avoidable,Evening,Friday,Variable
05-02-2021,Vegetables,127.83,Wallet,Food,Avoidable,Night,Friday,Variable
05-02-2021,Lottery,3860.8,UPI,Gambling,Avoidable,Night,Friday,Variable
06-02-2021,Books,856.98,Net Banking,Education,Necessary,Afternoon,Saturday,Variable
06-02-2021,Milk,54.71,Wallet,Groceries,Unnecessary,Afternoon,Saturday,Variable
06-02-2021,Vape,407.2,Net Banking,Tobacco,Avoidable,Afternoon,Saturday,Variable
06-02-2021,Online Course,1536.24,Debit Card,Education,Necessary,Night,Saturday,Variable
07-02-2021,Books,620.29,Wallet,Education,Unnecessary,Morning,Sunday,Variable
07-02-2021,Grocery,174.08,Net Banking,Food,Unnecessary,Morning,Sunday,Variable
07-02-2021,Uber,1408,Credit Card,Transport,Avoidable,Morning,Sunday,Variable
07-02-2021,Perfumes,10993.11,Net Banking,Luxury,Avoidable,Morning,Sunday,Variable
07-02-2021,Fruits,91.12,Net Banking,Food,Unnecessary,Afternoon,Sunday,Variable
07-02-2021,Casino,266.07,UPI,Gambling,Avoidable,Afternoon,Sunday,Variable
07-02-2021,Vegetables,74.25,Net Banking,Food,Avoidable,Evening,Sunday,Variable
07-02-2021,Milk,41.01,Credit Card,Groceries,Unnecessary,Night,Sunday,Variable
07-02-2021,Fuel,294,Credit Card,Transport,Avoidable,Night,Sunday,Variable
08-02-2021,Doctor Fee,775.95,Debit Card,Healthcare,Unnecessary,Morning,Monday,Variable
08-02-2021,Books,756.42,UPI,Education,Unnecessary,Afternoon,Monday,Variable
